Type,Lat,Long,Type_1
Causway 1,16.956903000000001,73.501339000000002,Causway
Bridge 1,16.958293000000001,73.491050000000001,Causway
Bridge 2,16.939858000000001,73.481255000000004,Causway
Causway 2,16.938945000000000,73.484610000000004,Causway
Bridge 3,16.939257000000001,73.491577000000007,Causway
Causway 3,16.937833000000001,73.495149999999995,Causway
bridge 4,16.942671000000001,73.510948999999997,Causway
Causway 4,16.943235000000001,73.509343000000001,Causway
Bridge 5,16.937408000000001,73.486615000000000,Causway
Bridge 6,16.939001999999999,73.475798999999995,Causway
Bridge 7,16.943413000000000,73.484298999999993,Causway
Bridge 8,16.957602999999999,73.499863000000005,Causway
Causway 5,16.957564000000001,73.499851000000007,Causway
Bridge 9,16.959790000000002,73.501369999999994,Causway
Shriram Clicnic,16.961248999999999,73.503271999999996,Hospital
PHC,16.962783000000002,73.499812000000006,Hospital
Banbewadi Cementary,16.962486999999999,73.482667000000006,Cementary
Kadduwadi  Cementary,16.937449999999998,73.495447999999996,Cementary
Gangarkarwadi Cementary,16.937923000000001,73.488685000000004,Cementary
Pankarwadi Cementary,16.944520000000001,73.490060000000000,Cementary
Powarwadi Cementary,16.952465000000000,73.494529999999997,Cementary
Kumbharwadi Cementary,16.960305000000002,73.494213000000002,Cementary
Bouddhwadi Cementary,16.957328000000000,73.499639000000002,Cementary
Trimukeshwar Temple,16.966439999999999,73.495232000000001,Temple
Maruti Mandir,16.942966999999999,73.494943000000006,Temple
Jakadevi Mandir,16.954941000000002,73.505188000000004,Temple
Pallinath Mandir,16.953306000000001,73.507384999999999,Temple
Ganesh Mandir,16.946573000000001,73.498720000000006,Temple
Datta Mandir,16.934729000000001,73.497061000000002,Temple
Ram Mandir,16.942402999999999,73.482951999999997,Temple
Hanuman Mandir,16.952746999999999,73.493461999999994,Temple
Ravalnath Mandir,16.951391000000001,73.492339999999999,Temple
Shri. Sant Shiromani Rohitdas Maharaj Samadhi Mandir,16.959920000000000,73.499416999999994,Temple
Someshwar Mandir,16.959607999999999,73.501030000000000,Temple
Bouddh Wihar,16.956325000000000,73.501535000000004,Temple
Banbewadi Bus Stop,16.962150000000001,73.490582000000003,Bus Stop
Math Bus Stop,16.961192000000000,73.503288999999995,Bus Stop
Anjanari Bus Stop,16.937600000000000,73.508859999999999,Bus Stop
Marathwadi Bus Stop,16.937398000000002,73.495092000000000,Bus Stop
Kadugao Bus Stop,16.945682999999999,73.498526999999996,Bus Stop
Kaduwadi Bus Stop,16.955050000000000,73.505196999999995,Bus Stop
Asode bus Stop,16.947372000000001,73.491986999999995,Bus Stop
Powarwadi Bus Stop,16.952465000000000,73.494529999999997,Bus Stop
Kumbharwadi Bus Stop,16.962266000000000,73.497855999999999,Bus Stop
Primary School Kumbharwadi,16.962375000000002,73.502246999999997,School
ZP School Kadugao,16.945045000000000,73.500703999999999,School
Kadugao Anganwadi,16.946100000000001,73.499910000000000,School
Anganwadi Gangarkarwadi,16.941023999999999,73.479024999999993,School
Primary School Asode,16.943885000000002,73.483170000000001,School
Asode Anganwadi,16.951398000000001,73.492352999999994,School
Primary School Asode,16.951813000000001,73.492372000000003,School
Bouddh Wadi Anganwadi NO.60,16.956598000000000,73.501720000000006,School
Sabhagruh,16.967839999999999,73.497226999999995,Other
Bakery,16.955033000000000,73.505155999999999,SB
Kaat Bhatti,16.932663000000002,73.502387999999996,SB
Boudhwihar Betkarwadi,16.947412000000000,73.492031999999995,Other
Banbewadi Nursary,16.960204999999998,73.490221000000005,SB
Old Post Office,16.955995000000001,73.498562000000007,Head
Talathi Office,16.959026000000001,73.502786999999998,Head
Grampanchayat,16.959036999999999,73.502821999999995,Head
Cementary,,,Cementary
