Type,Material U,Length,Width,No. of Mor,Latitude,Longitude,Remark
Bridge,Steel,55.000000000000000,1.400000000000000,0,16.879500000000000,73.580083999999999,
Causeway,concrete pipe,13.500000000000000,7.500000000000000,2,16.874495000000000,73.595864000000006,
Causeway,concrete pipe,13.500000000000000,7.500000000000000,2,16.871725999999999,73.592815999999999,
Causeway,concrete pipe,13.500000000000000,7.500000000000000,1,16.872087000000001,73.591774000000001,
Causeway,concrete pipe,13.500000000000000,7.600000000000000,6,16.870394999999998,73.580391000000006,
Causeway,concrete pipe,6.000000000000000,10.000000000000000,2,16.856501999999999,73.604029999999995,
Cross Drainage 1,concrete pipe,8.100000000000000,6.800000000000000,1,16.890388999999999,73.594142000000005,
Cross Drainage 2,concrete pipe,7.900000000000000,6.500000000000000,1,16.887895000000000,73.590902000000000,
Cross Drainage 3,concrete pipe,8.000000000000000,6.500000000000000,2,16.885221000000001,73.588087000000002,
Cross Drainage 4,concrete pipe,8.000000000000000,3.700000000000000,1,16.883613000000000,73.591922999999994,
Cross Drainage 5,concrete pipe,7.800000000000000,3.200000000000000,1,16.885306000000000,73.593485999999999,
Cross Drainage 6,concrete pipe,8.100000000000000,3.200000000000000,1,16.885320000000000,73.593646000000007,
Cross Drainage 7,concrete pipe,7.900000000000000,6.300000000000000,2,16.874980999999998,73.605884000000003,
Cross Drainage 8,concrete pipe,6.200000000000000,6.000000000000000,1,16.865594999999999,73.603103000000004,
Cross Drainage 9,concrete pipe,8.100000000000000,5.200000000000000,1,16.856636000000002,73.602784000000000,
Sakav,Laterite,80.000000000000000,2.000000000000000,0,16.884205999999999,73.594953000000004,
