Type,Road,Material U,Length,Width,No. of Mor,Remark,Latitude,Longitude
Cross Drainage 1,VR113,concrete pipe,5.400000000000000,7.400000000000000,"1",,16.766365000000000,73.493869000000004
Cross Drainage 2,VR113,concrete pipe,5.200000000000000,7.200000000000000,"1",,16.766966000000000,73.493250000000003
Cross Drainage 3,VR113,concrete pipe,8.199999999999999,10.199999999999999,"2",,16.767137999999999,73.492913000000001
Cross Drainage 4,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.769110999999999,73.492990000000006
Cross Drainage 5,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.770363000000000,73.493279999999999
Cross Drainage 6,VR113,concrete pipe,6.000000000000000,8.000000000000000,"1",,16.771228000000001,73.493301000000002
Cross Drainage 7,VR113,concrete pipe,6.000000000000000,8.000000000000000,"1",,16.772117999999999,73.493516999999997
Cross Drainage 8,VR113,concrete pipe,5.000000000000000,7.400000000000000,"1",,16.772946000000001,73.494213000000002
Cross Drainage 9,VR113,concrete pipe,6.300000000000000,7.200000000000000,"2",,16.773710999999999,73.494980999999996
Cross Drainage 10,VR113,concrete pipe,6.300000000000000,7.200000000000000,"1",,16.774553999999998,73.495810000000006
Cross Drainage 11,UP(Telewadi),concrete pipe,1.000000000000000,3.000000000000000,"1",,16.772980000000000,73.497208999999998
Cross Drainage 12,VR113,concrete pipe,5.000000000000000,7.000000000000000,"1",,16.776305000000001,73.494542999999993
Cross Drainage 13,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.777348000000000,73.493808000000001
Cross Drainage 14,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.778275000000001,73.494100000000003
Cross Drainage 15,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.780766000000000,73.494107000000000
Cross Drainage 16,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.783570999999998,73.495600999999994
Cross Drainage 17,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.784298000000000,73.496317000000005
Cross Drainage 18,VR113,concrete pipe,5.000000000000000,7.600000000000000,"2",,16.785522000000000,73.497172000000006
Cross Drainage 19,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.785850000000000,73.497382999999999
Cross Drainage 20,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.786991000000000,73.497168000000002
Cross Drainage 21,VR113,concrete pipe,5.000000000000000,7.500000000000000,"1",,16.788070000000001,73.494591999999997
Cross Drainage 22,VR113,concrete pipe,5.000000000000000,7.400000000000000,"1",,16.790215000000000,73.493232000000006
Cross Drainage 23,VR113,concrete pipe,4.800000000000000,7.300000000000000,"2",,16.791519999999998,73.493065999999999
Cross Drainage 24,VR113,concrete pipe,5.000000000000000,7.400000000000000,"1",,16.792494000000001,73.491991999999996
Cross Drainage 25,VR113,concrete pipe,5.000000000000000,7.500000000000000,"1",,16.794011000000001,73.491195000000005
Cross Drainage 26,VR113,concrete pipe,5.000000000000000,7.600000000000000,"1",,16.795100000000001,73.489683999999997
Dhawagi Mandir road Causeway,UP,concrete pipe,18.000000000000000,3.500000000000000,"3",,16.784317999999999,73.493251999999998
Cross Drainage 27,SH168,concrete pipe,3.000000000000000,9.900000000000000,"1",,16.782260999999998,73.492881999999994
Cross Drainage 28,SH168,concrete pipe,5.000000000000000,10.000000000000000,"1",,16.773534000000001,73.479868999999994
Cross Drainage 29,SH168,concrete pipe,3.000000000000000,10.400000000000000,"1",,16.779139000000001,73.480538999999993
Cross Drainage 30,SH168,concrete pipe,5.000000000000000,9.500000000000000,"1",,16.782844999999998,73.482635000000002
Cross Drainage 31,SH168,concrete pipe,4.500000000000000,10.000000000000000,"1",,16.785913999999998,73.482809000000003
Cross Drainage 32,SH168,concrete pipe,3.000000000000000,9.800000000000001,"1",,16.787465999999998,73.482996999999997
Cross Drainage 33,SH168,concrete pipe,9.800000000000001,11.300000000000001,"1",,16.788318000000000,73.483076999999994
Cross Drainage 34,SH168,concrete pipe,8.000000000000000,10.000000000000000,"1",,16.901150000000001,73.483711999999997
Cross Drainage 35,SH168,concrete pipe,5.500000000000000,13.000000000000000,"1",,16.793139000000000,73.484337999999994
Cross Drainage 36,SH168,concrete pipe,8.000000000000000,12.699999999999999,"1",,16.794280000000001,73.486233999999996
Cross Drainage 37,SH168,concrete pipe,5.000000000000000,10.100000000000000,"1",,16.794779999999999,73.487611999999999
Rajapur Boundry Bridge(Muchkundi River),,RCC,88.000000000000000,6.200000000000000,"-",,16.764662999999999,73.496758000000000
Sakav (Dhamanwadi),,Steel,20.000000000000000,2.000000000000000,"-",,16.767716000000000,73.489814999999993
Sakav (Veerwadi),,Steel,20.000000000000000,3.000000000000000,"-",,16.786691000000001,73.488809000000003
