Type,Road,Material U,Length,Width,No. of Mor,Remark,Latitude,Longitude,field_10,field_11,field_12,field_13,field_14,field_15,field_16
Cross Drainage 1,UP(Gangeshwar Mandir Via Jahavwadi),concrete pipe,4.500000000000000,2.500000000000000,"1","-",16.852748999999999,73.665147000000005,,,,,,,
Cross Drainage 2,UP(Pimpalwadi Payvat),Wooden Pool,6.000000000000000,0.500000000000000,"-",Poor Condition,16.852924000000002,73.664169999999999,,,,,,,
Culvert,ODR103,concrete pipe,10.500000000000000,8.800000000000002,"4","-",16.851676999999999,73.664632999999995,,,,,,,
Cross Drainage 3,ODR103,concrete pipe,5.000000000000000,5.200000000000000,"1","-",16.850992000000002,73.663517999999996,,,,,,,
Cross Drainage 4,ODR103,concrete pipe,4.000000000000000,8.800000000000002,"1","-",16.850152999999999,73.660747999999998,,,,,,,
Cross Drainage 5,ODR103,concrete pipe,5.000000000000000,8.199999999999999,"1","-",16.850149999999999,73.658272999999994,,,,,,,
Cross Drainage 6,ODR103 to Pimpalwadi,concrete pipe,7.900000000000000,3.300000000000000,"4","-",16.850307000000001,73.664389999999997,,,,,,,
Bridge,ODR103 to Pimpalwadi,Steel,40.000000000000000,1.200000000000000,"-","-",16.848870000000002,73.665564000000003,,,,,,,
Bridge,VR270,concrete,20.000000000000000,4.500000000000000,"-","-",16.853131000000001,73.648732999999993,,,,,,,
Cross Drainage 7,VR270,concrete pipe,11.000000000000000,6.900000000000000,"2","-",16.852965999999999,73.647582999999997,,,,,,,
Cross Drainage 8,SH175,concrete pipe,8.000000000000000,12.600000000000000,"1","-",16.861827999999999,73.650398999999993,,,,,,,
Cross Drainage 9,SH175,concrete pipe,6.000000000000000,12.500000000000000,"1","-",16.860322000000000,73.650130000000004,,,,,,,
Cross Drainage 10,SH175,concrete pipe,7.300000000000000,12.500000000000000,"1","-",16.857417000000002,73.649638999999993,,,,,,,
Cross Drainage 11,SH175,concrete pipe,9.199999999999999,12.600000000000000,"2","-",16.855623000000001,73.649484000000001,,,,,,,
Cross Drainage 12,SH175,concrete pipe,6.000000000000000,12.500000000000000,"4","-",16.853134000000001,73.649647999999999,,,,,,,
Cross Drainage 13,SH175,concrete pipe,7.000000000000000,12.500000000000000,"1","-",16.850033000000000,73.647796000000000,,,,,,,
Cross Drainage 14,SH175,concrete pipe,6.000000000000000,12.600000000000000,"1","-",16.849481999999998,73.647554000000000,,,,,,,
Cross Drainage 15,SH175,concrete pipe,4.000000000000000,12.699999999999999,"1","-",16.846836000000000,73.646944000000005,,,,,,,
Bridge,SH175,concrete,60.000000000000000,7.000000000000000,"-","-",16.843031000000000,73.646015000000006,,,,,,,
Cross Drainage 16,MDR62,concrete pipe,15.000000000000000,6.000000000000000,"3","-",16.846022000000001,73.644473000000005,,,,,,,
Bridge,MDR62,concrete,16.000000000000000,7.600000000000000,"-","-",16.845358999999998,73.640793000000002,,,,,,,
Cross Drainage 17,MDR62,concrete pipe,12.000000000000000,6.000000000000000,"5","-",16.841733000000001,73.638465999999994,,,,,,,
Cross Drainage 18,UP(Kondwadi),concrete pipe,5.000000000000000,5.000000000000000,"1","-",16.838339000000001,73.638557000000006,,,,,,,
Cross Drainage 19,VR66,concrete pipe,10.000000000000000,4.200000000000000,"6",Submersible,16.851032000000000,73.639336999999998,,,,,,,
Cross Drainage 20,VR66,concrete pipe,9.000000000000000,7.500000000000000,"1","-",16.852620000000002,73.637934999999999,,,,,,,
Bridge,VR280,concrete,8.699999999999999,2.100000000000000,"-","-",16.855720999999999,73.636398000000000,,,,,,,
Bridge,SH175 to Sahkarwadi,concrete,10.199999999999999,2.300000000000000,"-",Poor Condition,16.848471000000000,73.646584000000004,,,,,,,
