NAME,LATITUDE,LONG,LENGTH,WIDTH,MATERIAL,TYPE,MMATERIAL,MORI
CAUSE WAY1,16.814571999999998,73.590198999999998,7.700,"8",,CUSE,CON,
CAUSE WAY2,16.814905000000000,73.589603999999994,7.700,"9",,CUSE,CON,
CAUSE WAY3,16.815324000000000,73.588789000000006,7.700,"7.8",,CUSE,CON,
CAUSE WAY4,16.816025000000000,73.587918000000002,7.700,"2.5",,CUSE,CON,
CAUSE WAY5,16.816227999999999,73.587012999999999,7.500,"5",,CUSE,CON,
CAUSE WAY6,16.816880000000001,73.586104000000006,9.700,"5",,CUSE,CON,
CAUSE WAY7,16.817473000000000,73.585324000000000,7.500,"5",,CUSE,CON,
CAUSE WAY8,16.817958999999998,73.584577999999993,10.200,"6.3",,CUSE,CON,
CAUSE WAY9,16.818390000000001,73.583761999999993,10.800,"7",,CUSE,CON,
CAUSE WAY10,16.819333000000000,73.582746000000000,7.700,"5",,CUSE,CON,
CAUSE WAY11,16.821691000000001,73.580744999999993,7.700,"5",,CUSE,CON,
CAUSE WAY12,16.821646999999999,73.580512999999996,7.700,"10",,CUSE,CON,
CAUSE WAY13,16.822288000000000,73.578036999999995,7.700,"4.2",,CUSE,CON,
CAUSE WAY14,16.822779000000001,73.577106000000001,7.600,"4.3",,CUSE,CON,
CAUSE WAY15,16.822768000000000,73.574988000000005,7.600,"6",,CUSE,CON,
CAUSE WAY16,16.824411000000001,73.572429000000000,7.600,"6",,CUSE,CON,
CAUSE WAY17,16.825009000000001,73.565774000000005,10.500,"5",,CUSE,CON,
CAUSE WAY18,16.824936000000001,73.564058000000003,7.500,"3.5",,CUSE,CON,
CAUSE WAY19,16.824064000000000,73.562425000000005,7.700,"5",,CUSE,CON,
CAUSE WAY20,16.823633999999998,73.561023000000006,7.700,"5",,CUSE,CON,
CAUSE WAY21,16.824000999999999,73.559008000000006,7.700,"5",,CUSE,CON,
CAUSE WAY22,16.824193999999999,73.556447000000006,7.700,"2.5",,CUSE,CON,
CAUSE WAY23,16.825113999999999,73.562855999999996,7.700,"8",,CUSE,CON,
CAUSE WAY24,16.828379000000002,73.563159999999996,,,,CUSE,CON,
SAKAV BOUDHWADI,16.830034999999999,73.581050000000005,2.100,"1.8",,SAKAV,CON,
