Name,Lat,Long,Type,field_5
Smashanbhumi Varchi/Khalchi wadi,16.913571999999998,73.658225000000002,Smashanbhumi,
Smashanbhumi Pavarwadi/Ghagarwadi,16.926051999999999,73.652992999999995,Smashanbhumi,
Smashanbhumi Bouddhawadi,16.926742000000001,73.653002999999998,Smashanbhumi,
Dhavba Mandir,16.926828000000000,73.653188000000000,Temple,
Maruti Mandir Kadamwadi,16.932724000000000,73.661224000000004,Temple,
Shankar Mandir,16.930028000000000,73.654315999999994,Temple,
"Maruti Mandir,Khalchiwadi",16.911919999999999,73.650492999999997,Temple,
"Bakachibai Mandir, Varchiwadi",16.914545000000000,73.660025000000005,Temple,
"Hanuman Mandir, Bouddhawadi",16.925682999999999,73.643620999999996,Temple,
"Samaj Mandir,Kumbharkarwadi",16.929317999999999,73.648871999999997,Temple,
"Primary School,Kelavli",16.910122000000001,73.645493000000002,School,
School,16.929942000000000,73.653988999999996,School,
"Primary School, Kadamwadi",16.933100000000000,73.662529000000006,School,
"School, Varchiwadi",16.915668000000000,73.664973000000003,School,
ZP School Bouddhawadi,16.926106999999998,73.644451000000004,School,
Anganwadi Kelavli,16.910122000000001,73.645493000000002,School,
Anganwadi,16.929942000000000,73.653988999999996,School,
Anganwadi Varchiwadi,16.915887999999999,73.666217000000003,School,
Anganwadi Bouddhawadi,16.926106999999998,73.644451000000004,School,
Bus Stop/ Ch.Shivaji Maharaj Chowk,16.928806999999999,73.649131999999994,Bus Stop,
Grampanchayat,16.929932000000001,73.654394999999994,Head,
Post Office,16.928913000000001,73.648195000000001,Head,
Hospital,16.929406000000000,73.651210000000006,Hospital,
Reshan Dukan,16.928913000000001,73.648195000000001,Shop,
Reshan Dukan Bouddhawadi,16.925757000000001,73.643905000000004,Shop,
Visarjan Talav Pavarwadi,16.927337999999999,73.647683000000001,Talav,
ODR91 Causeway  1,16.934411000000001,73.661835999999994,Causeway,
ODR91 Causeway  2,16.934529999999999,73.660708000000000,Causeway,
ODR91 Causeway  3,16.932576999999998,73.658664000000002,Causeway,
ODR91 Causeway  4,16.932369000000001,73.657409000000001,Causeway,
ODR91 Causeway  5,16.931182000000000,73.655573000000004,Causeway,
ODR91 Causeway  6,16.930098000000001,73.652618000000004,Causeway,
ODR91 Causeway  7,16.929345999999999,73.651168999999996,Causeway,
ODR91 Causeway  8,16.928688000000001,73.647407999999999,Causeway,
ODR91 Causeway  9,16.929157000000000,73.645249000000007,Causeway,
VR49 Causeway  1,16.910160000000001,73.643460000000005,Causeway,
VR49 Causeway  2,16.911359999999998,73.648767000000007,Causeway,
VR49 Causeway  3,16.911681999999999,73.649664999999999,Causeway,
VR49 Causeway  4,16.914456999999999,73.658472000000003,Causeway,
VR49 Causeway  6,16.915641999999998,73.662282000000005,Causeway,
VR49 Causeway  7,16.916173000000001,73.663995000000000,Causeway,
VR49 Causeway  8,16.916768000000001,73.664762999999994,Causeway,
VR49 Causeway  9,16.914545000000000,73.665802999999997,Causeway,
VR49 Causeway  10,16.913229999999999,73.664086999999995,Causeway,
VR49 Causeway  11,16.913010000000000,73.664338000000001,Causeway,
VR49 Causeway  12,16.912351000000001,73.666217000000003,Causeway,
VR49 Causeway  13,16.919039999999999,73.667006999999998,Causeway,
VR49 Causeway  14,16.911932000000000,73.667990000000003,Causeway,
VR49 Causeway  15,16.912267000000000,73.670311999999996,Causeway,
Smashan Road B.wadi Causeway,16.925481999999999,73.649281999999999,Causeway,
VR49 Bridge 1,16.916782000000001,73.665163000000007,Bridge,
VR50 Bridge 1,16.926594000000001,73.647672000000000,Bridge,
Mahadikwadi Bridge,16.911192000000000,73.650891999999999,Bridge,
Kadamwadi Bridge,16.933595000000000,73.662447999999998,Bridge,
Salunkhewadi Bridge,16.914653999999999,73.660055000000000,Bridge,
Bhargavwadi Bridge,16.929416000000000,73.651211000000004,Bridge,
Dhavba Mandir Bridge,16.926832999999998,73.653180000000006,Bridge,
Shiposhi Dhangrwadi Bridge,16.935503000000001,73.643083000000004,Bridge,
