SR. NO.,BRIDGES &,LATITUDE,LONGITUDE,BRIDGE TYP,BRIDGE WID,BRIDGE LEN,Material_U
1,MDR62 KELAMBE ROAD CAUSEWAY,16.862155999999999,73.575766999999999,Causeway,9.000000000000000,6.000000000000000,Concrete
2,MDR62 VIVALI ROAD CAUSEWAY,16.851188000000000,73.605487999999994,Causeway,10.000000000000000,6.000000000000000,Concrete
3,VR 150,16.867283000000000,73.572500000000005,Culvert,7.500000000000000,6.500000000000000,Brick Masonary
4,VR150,16.870460000000001,73.580352000000005,Bridge,13.500000000000000,7.500000000000000,Concrete
5,VR23,16.857538999999999,73.580461999999997,Bridge,16.000000000000000,4.500000000000000,Concrete
6,VR59,16.856712999999999,73.580867999999995,Bridge,15.500000000000000,4.000000000000000,Concrete
7,VR59,16.847723999999999,73.578625000000002,Bridge,14.500000000000000,4.500000000000000,Concrete
8,VR60,16.850059999999999,73.599202000000005,Bridge,15.500000000000000,4.500000000000000,Concrete
9,VR302,16.851355999999999,73.592618999999999,Bridge,15.500000000000000,3.000000000000000,Concrete
