Asset Name,Asset Type,Latitute,Longitute
Grampanchayat,Grampanchayat,16.801812000000002,73.617881999999994
reshan dukan,Business,16.802430000000001,73.617895000000004
post office,post office,16.802430000000001,73.617895000000004
store,Business,16.802430000000001,73.617895000000004
sati devi mandir,Temple,16.802492000000001,73.617921999999993
school 1,school,16.803052999999998,73.619157000000001
school 2,school,16.811520000000002,73.629480000000001
vishwakarma mandir,Temple,16.811544000000001,73.629520999999997
bhari bhavani samaj mandir,Temple,16.810887000000001,73.619007999999994
bouddhvihar,bouddhvihar,16.808295000000001,73.618860999999995
mand,Temple,16.805723000000000,73.615187000000006
vagjai mandir,Temple,16.805797999999999,73.613085999999996
Smashanbhumi,Smashanbhumi,16.805534999999999,73.610577000000006
Dambar plant,Business,16.807604999999999,73.626247000000006
Dambar plant,Business,16.794301000000001,73.616401999999994
crushar plant 1,Business,16.795470000000002,73.619437000000005
crushar plant 2,Business,16.802561000000001,73.624641999999994
crushar plant 3,Business,16.808084999999998,73.625983000000005
